지역,일시,수온,염분,유속,유의파고,유의파주기,풍속,강수량,적설량
강원,2015-01-01,8.7,33.8,11.7,187.7,6.8,1.3,8.7,3
강원,2015-02-01,4.9,34,10.7,187.3,6.8,1.5,32.1,8.7
강원,2015-03-01,5.8,34,9.3,149.6,6.1,1.5,8,0
강원,2015-04-01,7.8,33.8,13.2,112.5,5.4,1.7,74.2,0
강원,2015-05-01,12.1,33.6,12.8,76.6,4.5,1.6,9.2,0
강원,2015-06-01,17.7,33.3,12.6,91.5,5.3,1.4,127.7,0
강원,2015-07-01,20.5,31.1,16.6,91,5.1,1.3,163.1,0
강원,2015-08-01,25,30.4,22.5,95.5,5.5,1.5,198.6,0
강원,2015-09-01,21.4,31.7,18.1,117.3,5.8,1.4,13.5,0
강원,2015-10-01,20.5,31.9,27.9,117.1,5.6,1.4,27.4,0
강원,2015-11-01,17.8,30.2,18.6,177.2,6.3,1.7,463.5,0
강원,2015-12-01,16.5,29.4,43.4,153.9,6.1,1.2,1.7,0
강원,2016-01-01,9.8,18.6,27.5,1.4,7.1,1.6,6.6,0
강원,2016-02-01,7.1,33.6,46.2,1.1,6.4,1.5,38.3,0
강원,2016-03-01,7.4,33.5,28.1,0.9,5.5,1.3,31.8,0
강원,2016-04-01,9.4,33.6,52.7,0.9,5.6,1.6,77.5,0
강원,2016-05-01,11.6,33.5,27.3,0.7,4.9,1.6,35.7,0
강원,2016-06-01,15.6,33.3,37.6,0.6,5.6,1.4,62.2,0
강원,2016-07-01,18.1,31.1,58,0.5,5.6,1.2,477.8,0
강원,2016-08-01,21.5,30,48.3,0.8,5,1.4,186.9,0
강원,2016-09-01,21.1,31.4,40.6,1,6.1,1.3,126,0
강원,2016-10-01,19,31.4,18.8,1.1,6,1.3,128.5,0
강원,2016-11-01,15.7,32.5,16,1.3,7.2,1.3,40.8,0
강원,2016-12-01,12.8,32.7,15.3,1.4,7.1,1.3,121.7,0
강원,2017-01-01,10.6,33,44.1,1.4,7.3,1.4,82.4,0
강원,2017-02-01,9.6,32.3,38.2,1.5,7.4,1.6,3.2,0
강원,2017-03-01,9.8,33.9,37.3,0.9,5.9,1.4,48.7,0
강원,2017-04-01,11.1,33.8,18,0.9,5.6,1.7,46.8,0
강원,2017-05-01,13.2,33.9,21.2,99.6,5.3,1.6,25.2,0
강원,2017-06-01,16.5,33.7,15.1,0.7,5.8,1.5,69.7,0
강원,2017-07-01,18.8,33.2,11.8,0.4,4.6,1.2,270.3,0
강원,2017-08-01,21,32.1,11.6,0.8,5.8,1.1,424.9,0
강원,2017-09-01,20.9,31.8,18.4,0.8,5.5,1.3,50.5,0
강원,2017-10-01,18.3,33.4,20.8,1.4,6.4,1.2,135.4,0
강원,2017-11-01,15.6,34.1,23.5,1.1,6.6,1.4,41.2,0
강원,2017-12-01,12.6,34.8,37.8,1.4,7.2,1.5,9.9,0
강원,2018-01-01,8.7,35,39.1,1.4,7.4,1.4,3.9,0
강원,2018-02-01,7.6,33.9,29.6,1.3,6.6,1.5,54.4,0
강원,2018-03-01,7.6,33.4,21.4,1.2,7.7,1.8,55,0
강원,2018-04-01,9.6,33.4,19,0.9,5.7,1.7,141.7,0
강원,2018-05-01,12.4,33.2,28.3,0.8,5.5,1.5,123.6,0
강원,2018-06-01,15.1,33.4,19.7,0.6,5.4,1.2,46.5,0
강원,2018-07-01,18.8,31.7,18.5,0.7,5.9,1.2,185.4,0
강원,2018-08-01,22.5,31.3,26.1,0.8,6.4,1.4,625,0
강원,2018-09-01,21.6,31.4,31,0.8,5.6,1.3,66.1,0
강원,2018-10-01,19.8,32.1,21.6,0.9,6.3,1.3,257.6,0
강원,2018-11-01,16.6,32.8,35.7,0.8,5.9,1.1,207.4,0
강원,2018-12-01,13.4,33.6,24,1.2,6.8,1.2,10.4,0
강원,2019-01-01,10.7,33.9,19.2,1.2,7.2,1.3,8.7,0
강원,2019-02-01,9.5,33.9,31.3,1,6.2,1.3,27.6,0
강원,2019-03-01,10,34,36,0.9,6,1.5,44.4,0
강원,2019-04-01,11.1,33.9,22.7,0.8,5.3,1.6,80.9,0
강원,2019-05-01,13.2,33.7,30.7,0.5,4.7,1.5,5.7,0
강원,2019-06-01,16.1,33.3,20.3,0.7,5.1,1.4,97.8,0
강원,2019-07-01,19.7,32.7,21,0.7,5.7,1.5,234.4,0
강원,2019-08-01,22.3,31.8,22.8,0.7,6.2,1.4,293.5,0
강원,2019-09-01,22.1,31.9,33.2,0.9,5.9,1.1,209.9,0
